reaction_identifier,,
554,",","554,"
558,",","558,"
643,",","643,"
747,",","747,"
853,",","853,"
988,",","988,"
1027,",","1027,"
1095,",","1095,"
1118,",","1118,"
1130,",","1130,"
1172,",","1172,"
1241,",","1241,"
1294,",","1294,"
1297,",","1297,"
1355,",","1355,"
1375,",","1375,"
1466,",","1466,"
1536,",","1536,"
1704,",","1704,"
1735,",","1735,"
1746,",","1746,"
1761,",","1761,"
1782,",","1782,"
1824,",","1824,"
1912,",","1912,"
2020,",","2020,"
2175,",","2175,"
2182,",","2182,"
2217,",","2217,"
2251,",","2251,"
2274,",","2274,"
2281,",","2281,"
2316,",","2316,"
2319,",","2319,"
2337,",","2337,"
2448,",","2448,"
2468,",","2468,"
2511,",","2511,"
2515,",","2515,"
2634,",","2634,"
2637,",","2637,"
2714,",","2714,"
2731,",","2731,"
2766,",","2766,"
2824,",","2824,"
2862,",","2862,"
2898,",","2898,"
2907,",","2907,"
3042,",","3042,"
3061,",","3061,"
3173,",","3173,"
3219,",","3219,"
3264,",","3264,"
3274,",","3274,"
3281,",","3281,"
3300,",","3300,"
3311,",","3311,"
3369,",","3369,"
3416,",","3416,"
3488,",","3488,"
3508,",","3508,"
3535,",","3535,"
3543,",","3543,"
3580,",","3580,"
3662,",","3662,"
3665,",","3665,"
3674,",","3674,"
3733,",","3733,"
3762,",","3762,"
3796,",","3796,"
3798,",","3798,"
3846,",","3846,"
3852,",","3852,"
3909,",","3909,"
3951,",","3951,"
3962,",","3962,"
3977,",","3977,"
3984,",","3984,"
4013,",","4013,"
4044,",","4044,"
4045,",","4045,"
4262,",","4262,"
4359,",","4359,"
4398,",","4398,"
4444,",","4444,"
4486,",","4486,"
4564,",","4564,"
4619,",","4619,"
4643,",","4643,"
4692,",","4692,"
4739,",","4739,"
4749,",","4749,"
4805,",","4805,"
4823,",","4823,"
4875,",","4875,"
4930,",","4930,"
4980,",","4980,"
4990,",","4990,"
5071,",","5071,"
5143,",","5143,"
5187,",","5187,"
5235,",","5235,"
5259,",","5259,"
5290,",","5290,"
5304,",","5304,"
5457,",","5457,"
5514,",","5514,"
5530,",","5530,"
5541,",","5541,"
5557,",","5557,"
5586,",","5586,"
